iter	Logloss
0	0.6711812998
1	0.6504177381
2	0.6336580562
3	0.6187115356
4	0.6047918951
5	0.592262602
6	0.5810108795
7	0.5695237689
8	0.5603871554
9	0.5523520104
10	0.5448866976
11	0.5382348485
12	0.5316055803
13	0.5260782218
14	0.5209156576
15	0.5167196059
16	0.512435725
17	0.5085794157
18	0.5047048239
19	0.501522955
20	0.4985441038
21	0.4957900473
22	0.4936893488
23	0.4913641691
24	0.4889978951
25	0.4862686859
26	0.4848713936
27	0.4833271922
28	0.4811966943
29	0.4797288851
30	0.4781726499
31	0.4765546054
32	0.4754052078
33	0.4735998509
34	0.4722635808
35	0.4710733056
36	0.4700085275
37	0.4690925383
38	0.4680754087
39	0.4673945457
40	0.4664148179
41	0.4656127106
42	0.4649714232
43	0.4642059419
44	0.4635851149
45	0.4628655498
46	0.4623043477
47	0.4616595305
48	0.4610401641
49	0.4605440888
50	0.4600824791
51	0.459682764
52	0.4592514495
53	0.4587921817
54	0.4581858159
55	0.4577149698
56	0.4572584783
57	0.4568450994
58	0.4565321094
59	0.456131224
60	0.4558627666
61	0.4555030442
62	0.4551496751
63	0.4548071159
64	0.4543329894
65	0.4538800995
66	0.4536011373
67	0.4532482292
68	0.4529843661
69	0.4527768008
70	0.4524764787
71	0.4523046242
72	0.452018679
73	0.4517650935
74	0.4512913755
75	0.4510693232
76	0.4508377266
77	0.4506788259
78	0.4504773743
79	0.4502448198
80	0.4498610647
81	0.4496608151
82	0.4494833283
83	0.4493206769
84	0.4491422785
85	0.4489737588
86	0.4487960966
87	0.4486108205
88	0.4484932761
89	0.448317799
90	0.4481500784
91	0.4479128855
92	0.4477823004
93	0.4476912068
94	0.4474947338
95	0.4473420639
96	0.4471248837
97	0.4469316926
98	0.4467243238
99	0.4466146854
100	0.446454478
101	0.4463509773
102	0.4461828529
103	0.4459622
104	0.4458081582
105	0.4456200085
106	0.4455278242
107	0.4454299773
108	0.4452553105
109	0.445178263
110	0.4450118297
111	0.4448562119
112	0.4447563497
113	0.4445946632
114	0.4445103536
115	0.444282891
116	0.444165534
117	0.4440476446
118	0.4439021894
119	0.4437820427
120	0.4436226146
121	0.4435044059
122	0.4433911689
123	0.4432389148
124	0.4430902252
125	0.4429698409
126	0.4428249572
127	0.4427250769
128	0.4425923329
129	0.442314285
130	0.4421977473
131	0.4420963587
132	0.4419312896
133	0.4418162032
134	0.4416745836
135	0.4415014845
136	0.4414018112
137	0.4412621253
138	0.4412043724
139	0.4411142097
140	0.4410066578
141	0.4409177533
142	0.4408217396
143	0.4407260131
144	0.4405636463
145	0.4404824603
146	0.4403668333
147	0.4402139438
148	0.4401581843
149	0.4401047327
150	0.4400366229
151	0.4399567702
152	0.43982657
153	0.4397777688
154	0.4396963865
155	0.439610225
156	0.4394747384
157	0.4393910797
158	0.4392595267
159	0.4391451797
160	0.4390110709
161	0.4388803015
162	0.4388271732
163	0.4387202831
164	0.4386285653
165	0.4383862634
166	0.4382372854
167	0.438173006
168	0.4380241062
169	0.437919409
170	0.4377736604
171	0.437651639
172	0.4374235655
173	0.4373656206
174	0.4372949718
175	0.4371738215
176	0.4371224148
177	0.4370114069
178	0.4369486333
179	0.4368546969
180	0.4367104792
181	0.4366411741
182	0.4365519081
183	0.436485404
184	0.4363774034
185	0.4362099644
186	0.4361463171
187	0.4360428995
188	0.4359851903
189	0.4358893587
190	0.4358110162
191	0.4357669502
192	0.4357090282
193	0.4356019024
194	0.4355024243
195	0.4353820417
196	0.4352481438
197	0.4351653125
198	0.4350241045
199	0.434822581
200	0.4347054616
201	0.4345682049
202	0.4344947324
203	0.4343774474
