iter	Passed	Remaining
411	3851	5497
412	3861	5488
413	3870	5478
414	3879	5468
415	3890	5461
416	3901	5454
417	3911	5446
418	3922	5439
419	3931	5429
420	3941	5420
421	3950	5410
422	3959	5401
423	3970	5393
424	3979	5383
425	3988	5374
426	3997	5364
427	4007	5355
428	4016	5345
429	4026	5337
430	4036	5328
431	4046	5319
432	4056	5311
433	4065	5301
434	4073	5291
435	4083	5281
436	4092	5272
437	4102	5263
438	4110	5252
439	4119	5243
440	4128	5232
441	4136	5222
442	4146	5213
443	4155	5203
444	4164	5194
445	4173	5183
446	4182	5174
447	4191	5164
448	4201	5155
449	4210	5146
450	4218	5135
451	4227	5125
452	4235	5114
453	4244	5104
454	4253	5094
455	4261	5084
456	4270	5074
457	4279	5064
458	4287	5053
459	4298	5046
460	4307	5036
461	4316	5026
462	4326	5017
463	4334	5006
464	4343	4997
465	4352	4987
466	4363	4980
467	4373	4971
468	4382	4961
469	4391	4952
470	4399	4941
471	4408	4931
472	4417	4921
473	4426	4911
474	4435	4902
475	4444	4892
476	4453	4882
477	4461	4872
478	4470	4862
479	4479	4852
480	4488	4843
481	4496	4832
482	4505	4822
483	4513	4812
484	4522	4801
485	4530	4791
486	4539	4781
487	4548	4772
488	4557	4762
489	4565	4751
490	4574	4742
491	4582	4731
492	4591	4722
493	4599	4711
494	4608	4701
495	4616	4691
496	4625	4681
497	4633	4671
498	4642	4661
499	4651	4651
500	4659	4641
501	4668	4631
502	4676	4621
503	4686	4611
504	4695	4602
505	4705	4594
506	4714	4584
507	4723	4574
508	4732	4565
509	4741	4555
510	4749	4545
511	4758	4535
512	4767	4526
513	4776	4516
514	4785	4506
515	4794	4496
516	4804	4488
517	4813	4478
518	4821	4468
519	4830	4458
520	4838	4448
521	4848	4439
522	4856	4429
523	4865	4419
524	4873	4409
525	4882	4399
526	4890	4389
527	4899	4380
528	4907	4369
529	4917	4360
530	4925	4350
531	4934	4340
532	4943	4331
533	4951	4321
534	4960	4311
535	4969	4301
536	4978	4292
537	4986	4282
538	4995	4272
539	5004	4262
540	5012	4252
541	5020	4242
542	5029	4232
543	5037	4222
544	5045	4212
545	5053	4202
546	5062	4192
547	5071	4183
548	5081	4174
549	5090	4164
550	5100	4156
551	5109	4146
552	5117	4136
553	5126	4127
554	5135	4117
555	5144	4108
556	5153	4098
557	5162	4089
558	5170	4078
559	5179	4069
560	5188	4059
561	5196	4049
562	5204	4040
563	5213	4030
564	5222	4021
565	5231	4011
566	5240	4001
567	5247	3991
568	5256	3981
569	5264	3971
570	5273	3961
571	5282	3952
572	5291	3942
573	5298	3932
574	5307	3923
575	5316	3913
576	5326	3904
577	5334	3894
578	5343	3885
579	5351	3875
580	5360	3865
581	5369	3856
582	5378	3846
583	5387	3837
584	5395	3827
585	5404	3818
586	5412	3808
587	5422	3799
588	5430	3789
589	5441	3781
590	5450	3771
591	5458	3762
592	5467	3752
593	5476	3742
594	5485	3733
595	5494	3724
596	5503	3715
597	5512	3705
598	5522	3696
599	5530	3687
600	5539	3677
601	5547	3667
602	5556	3658
603	5564	3648
604	5573	3638
605	5582	3629
606	5590	3619
607	5599	3610
608	5607	3600
609	5616	3591
610	5625	3581
611	5635	3572
612	5643	3562
613	5652	3553
614	5660	3543
615	5670	3534
616	5679	3525
617	5688	3516
618	5698	3507
619	5706	3497
620	5716	3488
621	5724	3478
622	5733	3469
623	5742	3460
624	5751	3451
625	5760	3441
626	5768	3431
627	5777	3422
628	5785	3412
629	5794	3403
630	5802	3393
631	5811	3383
632	5819	3374
633	5830	3366
634	5839	3356
635	5848	3347
636	5857	3337
637	5866	3328
638	5874	3318
639	5883	3309
640	5892	3300
641	5901	3290
642	5910	3281
643	5917	3271
644	5926	3261
645	5934	3252
646	5943	3243
647	5951	3233
648	5960	3223
649	5968	3213
650	5977	3204
651	5985	3194
652	5994	3185
653	6003	3176
654	6011	3166
655	6019	3156
656	6028	3147
657	6037	3137
658	6046	3128
659	6055	3119
660	6063	3109
661	6071	3100
662	6079	3090
663	6088	3081
664	6097	3071
665	6107	3062
666	6116	3053
667	6125	3044
668	6133	3034
669	6143	3025
670	6152	3016
671	6160	3007
672	6169	2997
673	6178	2988
674	6186	2978
675	6195	2969
676	6203	2959
677	6212	2950
678	6221	2941
679	6229	2931
680	6238	2922
681	6246	2912
682	6256	2903
683	6264	2894
684	6273	2884
685	6282	2875
686	6292	2866
687	6301	2857
688	6309	2848
689	6319	2839
690	6328	2829
691	6337	2820
692	6346	2811
693	6355	2802
694	6365	2793
695	6374	2784
696	6383	2774
697	6391	2765
698	6400	2756
699	6409	2746
700	6418	2737
701	6426	2728
702	6437	2719
703	6445	2710
704	6455	2701
705	6463	2691
706	6472	2682
707	6482	2673
708	6490	2663
709	6498	2654
710	6507	2644
711	6516	2635
712	6525	2626
713	6534	2617
714	6546	2609
715	6555	2600
716	6565	2591
717	6573	2581
718	6583	2572
719	6591	2563
720	6600	2554
721	6609	2544
722	6618	2535
723	6627	2526
724	6637	2517
725	6647	2508
726	6656	2499
727	6665	2490
728	6675	2481
729	6686	2472
730	6695	2463
731	6703	2454
732	6712	2445
733	6720	2435
734	6731	2426
735	6741	2418
736	6749	2408
737	6759	2399
738	6769	2390
739	6778	2381
740	6786	2372
741	6796	2363
742	6805	2354
743	6814	2344
744	6823	2335
745	6832	2326
746	6841	2317
747	6849	2307
748	6859	2298
749	6866	2288
750	6876	2279
751	6884	2270
752	6894	2261
753	6903	2252
754	6913	2243
755	6922	2234
756	6930	2224
757	6939	2215
758	6947	2206
759	6956	2196
760	6964	2187
761	6973	2178
762	6981	2168
763	6991	2159
764	6999	2150
765	7008	2140
766	7016	2131
767	7025	2122
768	7033	2112
769	7042	2103
770	7051	2094
771	7059	2084
772	7067	2075
773	7076	2066
774	7085	2057
775	7094	2047
776	7104	2038
777	7112	2029
778	7122	2020
779	7130	2011
780	7139	2001
781	7147	1992
782	7156	1983
783	7164	1973
784	7173	1964
785	7182	1955
786	7191	1946
787	7200	1937
