iter	Passed	Remaining
404	8150	11973
405	8170	11953
406	8192	11936
407	8208	11910
408	8222	11880
409	8235	11850
410	8249	11822
411	8265	11796
412	8283	11773
413	8297	11744
414	8314	11719
415	8332	11697
416	8349	11673
417	8374	11660
418	8395	11641
419	8412	11617
420	8429	11592
421	8444	11566
422	8471	11555
423	8487	11530
424	8504	11506
425	8527	11489
426	8542	11463
427	8559	11439
428	8583	11425
429	8618	11423
430	8633	11397
431	8648	11371
432	8664	11345
433	8780	11450
434	8909	11571
435	8981	11618
436	9008	11605
437	9029	11586
438	9050	11566
439	9082	11559
440	9101	11536
441	9145	11545
442	9174	11535
443	9200	11521
444	9232	11514
445	9266	11510
446	9312	11520
447	9332	11499
448	9360	11487
449	9395	11483
450	9430	11479
451	9456	11465
452	9477	11444
453	9506	11433
454	9529	11414
455	9557	11401
456	9584	11388
457	9624	11390
458	9677	11406
459	9697	11384
460	9718	11362
461	9743	11346
462	9762	11323
463	9790	11309
464	9812	11290
465	9842	11279
466	9861	11255
467	9879	11230
468	9897	11206
469	9919	11186
470	9936	11159
471	9954	11135
472	9971	11110
473	9989	11085
474	10009	11062
475	10042	11055
476	10062	11033
477	10093	11022
478	10114	11001
479	10135	10980
480	10153	10955
481	10175	10935
482	10199	10917
483	10221	10896
484	10253	10887
485	10276	10868
486	10292	10842
487	10304	10811
488	10329	10794
489	10349	10771
490	10369	10749
491	10391	10729
492	10408	10704
493	10425	10678
494	10445	10656
495	10473	10642
496	10492	10619
497	10516	10601
498	10548	10590
499	10577	10577
500	10597	10555
501	10617	10533
502	10635	10508
503	10655	10486
504	10677	10466
505	10702	10448
506	10723	10427
507	10741	10402
508	10757	10377
509	10774	10351
510	10790	10325
511	10804	10298
512	10823	10275
513	10839	10249
514	10856	10224
515	10880	10205
516	10907	10190
517	10922	10163
518	10937	10136
519	10954	10111
520	10969	10085
521	10992	10066
522	11012	10043
523	11083	10068
524	11182	10117
525	11209	10101
526	11229	10078
527	11259	10065
528	11310	10070
529	11333	10050
530	11359	10033
531	11377	10008
532	11397	9986
533	11425	9970
534	11443	9946
535	11466	9926
536	11488	9905
537	11505	9879
538	11520	9853
539	11538	9829
540	11558	9806
541	11576	9782
542	11593	9757
543	11611	9733
544	11639	9717
545	11658	9693
546	11677	9670
547	11696	9647
548	11726	9633
549	11743	9608
550	11759	9582
551	11774	9556
552	11793	9532
553	11810	9507
554	11831	9486
555	11854	9466
556	11871	9441
557	11889	9417
558	11907	9393
559	11926	9370
560	11944	9346
561	11958	9320
562	11972	9292
563	11987	9266
564	12001	9240
565	12017	9214
566	12030	9187
567	12054	9168
568	12077	9148
569	12094	9123
570	12117	9103
571	12133	9078
572	12148	9052
573	12163	9027
574	12178	9001
575	12196	8977
576	12213	8954
577	12232	8931
578	12258	8913
579	12280	8892
580	12302	8872
581	12320	8848
582	12339	8825
583	12355	8801
584	12371	8776
585	12385	8750
586	12402	8726
587	12419	8701
588	12438	8679
589	12456	8656
590	12473	8632
591	12495	8612
592	12527	8598
593	12551	8578
594	12570	8556
595	12586	8531
596	12603	8507
597	12621	8484
598	12638	8460
599	12655	8437
600	12669	8411
601	12686	8387
602	12703	8363
603	12724	8342
604	12746	8321
605	12771	8303
606	12789	8280
607	12806	8256
608	12822	8232
609	12844	8211
610	12862	8188
611	12878	8164
612	12892	8139
613	12914	8118
614	12982	8126
615	13012	8111
616	13050	8101
617	13076	8083
618	13091	8058
619	13107	8033
620	13127	8011
621	13148	7990
622	13165	7966
623	13180	7941
624	13195	7917
625	13209	7891
626	13225	7867
627	13241	7843
628	13255	7818
629	13274	7796
630	13291	7772
631	13306	7747
632	13320	7722
633	13342	7702
634	13360	7679
635	13379	7657
636	13395	7633
637	13410	7608
638	13425	7584
639	13440	7560
640	13457	7537
641	13474	7513
642	13490	7490
643	13508	7467
644	13524	7443
645	13540	7420
646	13558	7397
647	13586	7380
648	13601	7355
649	13617	7332
650	13632	7308
651	13647	7284
652	13660	7259
653	13676	7235
654	13691	7211
655	13705	7186
656	13719	7162
657	13745	7144
658	13762	7121
659	13795	7106
660	13814	7084
661	13830	7061
662	13847	7038
663	13863	7015
664	13881	6993
665	13896	6969
666	13912	6945
667	13929	6923
668	13946	6900
669	13962	6876
670	13977	6853
671	13992	6829
672	14010	6807
673	14031	6786
674	14049	6764
675	14064	6741
676	14082	6719
677	14104	6698
678	14119	6675
679	14140	6654
680	14155	6630
681	14170	6607
682	14184	6583
683	14197	6559
684	14211	6535
685	14228	6512
686	14253	6493
687	14269	6471
688	14284	6447
689	14301	6425
690	14318	6403
691	14334	6379
692	14350	6357
693	14366	6334
694	14380	6310
695	14397	6288
696	14416	6267
697	14434	6245
698	14454	6224
699	14474	6203
700	14489	6180
701	14508	6158
702	14530	6138
703	14548	6117
704	14565	6094
705	14583	6072
706	14604	6052
707	14620	6030
708	14640	6009
709	14664	5989
710	14681	5967
711	14698	5945
712	14715	5923
713	14731	5900
714	14750	5879
715	14765	5856
716	14778	5833
717	14793	5810
718	14815	5790
719	14829	5767
720	14843	5743
721	14860	5722
722	14886	5703
723	14905	5682
724	14927	5662
725	14943	5639
726	14958	5617
727	14972	5594
728	14987	5571
729	15003	5549
730	15018	5526
731	15033	5504
732	15048	5481
733	15066	5459
734	15085	5438
735	15106	5418
736	15122	5396
737	15139	5374
738	15156	5352
739	15172	5330
740	15186	5308
741	15207	5287
742	15220	5264
743	15235	5242
744	15251	5220
745	15270	5199
746	15291	5179
747	15327	5163
748	15344	5142
749	15359	5119
750	15375	5097
751	15390	5075
752	15408	5054
753	15423	5032
754	15439	5010
755	15455	4988
756	15474	4967
757	15492	4946
758	15512	4925
759	15529	4904
760	15543	4881
761	15558	4859
762	15573	4837
763	15589	4815
764	15607	4794
765	15625	4773
766	15642	4751
767	15657	4729
768	15675	4708
769	15703	4690
770	15723	4670
771	15740	4648
772	15754	4626
773	15770	4604
774	15785	4582
775	15803	4561
776	15820	4540
777	15846	4521
778	15863	4500
779	15880	4479
780	15896	4457
781	15914	4436
782	15940	4417
783	15956	4396
784	15973	4374
785	15985	4352
786	15999	4330
787	16014	4308
788	16030	4287
789	16044	4265
790	16062	4243
791	16080	4223
792	16100	4202
793	16117	4181
794	16141	4162
795	16160	4141
796	16176	4120
797	16194	4099
798	16211	4078
799	16230	4057
800	16251	4037
801	16266	4015
802	16284	3995
803	16300	3973
804	16311	3951
805	16333	3931
806	16366	3914
807	16391	3895
808	16409	3874
809	16425	3852
810	16443	3832
811	16460	3811
812	16476	3789
813	16498	3769
814	16515	3748
815	16530	3727
816	16548	3706
817	16570	3686
818	16590	3666
819	16603	3644
820	16618	3623
821	16631	3601
822	16646	3580
823	16663	3559
824	16678	3537
825	16694	3516
826	16709	3495
827	16724	3474
828	16739	3452
829	16756	3431
830	16776	3411
831	16795	3391
832	16812	3370
833	16825	3348
834	16839	3327
835	16853	3306
836	16879	3287
837	16895	3266
838	16910	3244
839	16928	3224
840	16945	3203
841	16968	3184
842	16988	3164
843	17007	3143
844	17022	3122
845	17037	3101
846	17052	3080
847	17073	3060
848	17090	3039
849	17107	3018
850	17120	2997
851	17135	2976
852	17151	2955
853	17167	2934
854	17189	2915
855	17208	2894
856	17222	2873
857	17237	2852
858	17254	2832
859	17280	2813
860	17299	2792
861	17316	2772
862	17332	2751
863	17348	2730
864	17364	2710
865	17390	2690
866	17413	2671
867	17433	2651
868	17450	2630
869	17465	2609
870	17481	2589
871	17496	2568
872	17514	2547
873	17532	2527
874	17549	2507
875	17565	2486
876	17587	2466
877	17610	2446
878	17630	2426
879	17649	2406
880	17672	2387
881	17691	2366
882	17710	2346
883	17726	2326
884	17742	2305
885	17758	2284
886	17773	2264
887	17789	2243
888	17805	2223
889	17825	2203
890	17843	2182
891	17857	2162
892	17872	2141
893	17888	2120
894	17904	2100
895	17922	2080
896	17937	2059
897	17952	2039
898	17969	2018
899	17985	1998
900	18003	1978
901	18030	1958
902	18046	1938
903	18064	1918
904	18089	1898
905	18102	1878
906	18118	1857
907	18134	1837
908	18149	1816
909	18163	1796
910	18180	1776
911	18194	1755
912	18210	1735
913	18228	1715
914	18245	1694
915	18260	1674
916	18276	1654
917	18290	1633
918	18304	1613
919	18318	1592
920	18336	1572
921	18348	1552
922	18362	1531
923	18377	1511
924	18393	1491
925	18413	1471
926	18443	1452
927	18459	1432
928	18482	1412
929	18497	1392
930	18510	1371
931	18525	1351
932	18540	1331
933	18557	1311
934	18573	1291
935	18591	1271
936	18611	1251
937	18630	1231
938	18707	1215
939	18802	1200
940	18843	1181
941	18900	1163
942	18924	1143
943	18940	1123
944	18955	1103
945	18969	1082
946	18982	1062
947	18999	1042
948	19014	1021
949	19032	1001
950	19048	981
951	19069	961
952	19095	941
953	19111	921
954	19129	901
955	19145	881
956	19162	861
957	19176	840
958	19193	820
959	19207	800
960	19221	780
961	19236	759
962	19253	739
963	19268	719
964	19302	700
965	19321	680
966	19338	659
967	19354	639
968	19370	619
969	19386	599
970	19402	579
971	19420	559
972	19437	539
973	19455	519
974	19470	499
975	19485	479
976	19504	459
977	19531	439
978	19551	419
979	19567	399
980	19586	379
981	19602	359
982	19617	339
983	19634	319
984	19649	299
985	19668	279
986	19685	259
987	19701	239
988	19719	219
989	19746	199
990	19762	179
991	19779	159
992	19794	139
993	19810	119
994	19825	99
995	19840	79
996	19854	59
997	19867	39
998	19881	19
999	19897	0
